natureza_rotulo,natureza_exibicao
roubo_a_transeunte,Roubo a Transeunte
roubo_de_veiculo,Roubo de Veículo
outros_roubos,Outros Roubos
roubo_a_onibus,Roubo a Ônibus
roubo_em_residencia,Roubo em Residência
roubo_em_estabelecimento_comercial_ou_de_servicos,Roubo em Estabelecimento Comercial ou de Serviços
extorsao_mediante_sequestro,Extorsão Mediante Sequestro
extorsaorestricao_liberdade_da_vitima_sequestro_relampago,Extorsão com Restrição de Liberdade da Vítima Sequestro Relâmpago
roubo_a_motonetaciclomotor_ate_50_cc,Roubo a Motoneta Ciclomotor até 50cc
roubo_com_restricao_da_liberdade_da_vitima,Roubo com Restrição da Liberdade da Vítima
furto_a_transeunte, Furto a Transeunte
furto_em_residencia, Furto em Residência
furto_em_estabelecimento_comercial_ou_de_servicos,Furto em Estabelecimento Comercial ou de Serviços
